geo,Municipio,Producción(t)
15022,ALMEIDA,0.000000
15047,AQUITANIA,0.000000
15051,ARCABUCO,0.000000
15087,BELÉN,4.000000
15090,BERBEO,0.000000
15092,BETÉITIVA,34.000000
15097,BOAVITA,0.000000
15104,BOYACÁ,0.000000
15106,BRICEÑO,0.000000
15109,BUENAVISTA,0.000000
15114,BUSBANZÁ,3.400000
15131,CALDAS,0.000000
15135,CAMPOHERMOSO,0.000000
15162,CERINZA,0.000000
15172,CHINAVITA,1155.500000
15176,CHIQUINQUIRÁ,0.000000
15232,CHÍQUIZA,0.000000
15180,CHISCAS,0.000000
15183,CHITA,0.000000
15185,CHITARAQUE,0.000000
15187,CHIVATÁ,0.000000
15236,CHIVOR,0.000000
15189,CIÉNEGA,0.000000
15204,CÓMBITA,170.900000
15212,COPER,0.000000
15215,CORRALES,11.000000
15218,COVARACHÍA,0.000000
15223,CUBARÁ,0.000000
15224,CUCAITA,420.000000
15226,CUÍTIVA,0.000000
15238,DUITAMA,0.000000
15244,EL COCUY,95.880000
15248,EL ESPINO,0.000000
15272,FIRAVITOBA,115.000000
15276,FLORESTA,0.000000
15293,GACHANTIVÁ,0.000000
15296,GAMEZA,0.000000
15299,GARAGOA,0.000000
15317,GUACAMAYAS,0.000000
15322,GUATEQUE,0.000000
15325,GUAYATÁ,0.000000
15332,GÜICÁN,0.000000
15362,IZA,0.000000
15367,JENESANO,0.000000
15368,JERICÓ,1.350000
15380,LA CAPILLA,0.000000
15403,LA UVITA,3.700000
15401,LA VICTORIA,0.000000
15377,LABRANZAGRANDE,0.000000
15425,MACANAL,0.000000
15442,MARIPÍ,0.000000
15455,MIRAFLORES,0.000000
15464,MONGUA,0.000000
15466,MONGUÍ,0.000000
15469,MONIQUIRÁ,0.000000
15476,MOTAVITA,6.000000
15480,MUZO,0.000000
15491,NOBSA,129.000000
15494,NUEVO COLÓN,0.000000
15500,OICATÁ,551.400000
15507,OTANCHE,0.000000
15511,PACHAVITA,0.000000
15514,PÁEZ,0.000000
15516,PAIPA,0.000000
15518,PAJARITO,0.000000
15522,PANQUEBA,0.000000
15531,PAUNA,0.000000
15533,PAYA,0.000000
15537,PAZ DE RÍO,37.000000
15542,PESCA,0.000000
15550,PISBA,0.000000
15572,PUERTO BOYACÁ,0.000000
15580,QUÍPAMA,0.000000
15599,RAMIRIQUÍ,0.000000
15600,RÁQUIRA,0.000000
15621,RONDÓN,0.000000
15632,SABOYÁ,0.000000
15638,SÁCHICA,0.000000
15646,SAMACÁ,80.800000
15660,SAN EDUARDO,0.000000
15664,SAN JOSÉ DE PARE,0.000000
15667,SAN LUIS DE GACENO,0.000000
15673,SAN MATEO,0.000000
15676,SAN MIGUEL DE SEMA,0.000000
15681,SAN PABLO DE BORBUR,0.000000
15690,SANTA MARÍA,0.000000
15693,SANTA ROSA DE VITERBO,0.000000
15696,SANTA SOFÍA,0.000000
15686,SANTANA,0.000000
15720,SATIVANORTE,33.500000
15723,SATIVASUR,8.500000
15740,SIACHOQUE,529.000000
15753,SOATÁ,6.600000
15757,SOCHA,0.000000
15755,SOCOTÁ,0.000000
15759,SOGAMOSO,0.000000
15761,SOMONDOCO,0.000000
15762,SORA,135.500000
15764,SORACÁ,278.000000
15763,SOTAQUIRÁ,0.000000
15774,SUSACÓN,93.400000
15776,SUTAMARCHÁN,0.000000
15778,SUTATENZA,0.000000
15790,TASCO,91.900000
15798,TENZA,0.000000
15804,TIBANÁ,0.000000
15806,TIBASOSA,0.000000
15808,TINJACÁ,0.000000
15810,TIPACOQUE,0.000000
15814,TOCA,3654.600000
15816,TOGÜÍ,0.000000
15820,TÓPAGA,46.340000
15822,TOTA,0.000000
15001,TUNJA,483.000000
15832,TUNUNGUÁ,0.000000
15835,TURMEQUÉ,0.000000
15837,TUTA,249.000000
15839,TUTAZÁ,19.480000
15842,UMBITA,0.000000
15861,VENTAQUEMADA,0.000000
15407,VILLA DE LEYVA,0.000000
15879,VIRACACHÁ,0.000000
15897,ZETAQUIRA,0.000000
